t_h,SOC,发电W,耗电W
51.333333333333336,0.9926,0.0,0.78
51.5,0.9938,5.842632790712255,0.78
51.666666666666664,1.0,5.22024700954824,0.78
51.833333333333336,1.0,3.0216872723722075,0.78
52.0,1.0,5.455168463765225,0.78
52.166666666666664,1.0,5.649112842037492,0.78
52.333333333333336,1.0,3.055867161470398,0.78
52.5,0.9991,0.0,0.78
52.666666666666664,0.9888,0.0,0.78
52.833333333333336,0.9862,0.0,0.78
53.0,0.9835,0.0,0.78
53.166666666666664,0.9963,6.217122155514616,0.78
53.333333333333336,1.0,3.5314806856059997,0.78
53.5,1.0,4.0383436137900635,0.78
53.666666666666664,1.0,6.30644940917182,0.78
53.833333333333336,1.0,3.9312014985510464,0.78
54.0,1.0,3.6197405540418983,0.78
54.166666666666664,0.9976,0.0,0.78
54.333333333333336,0.995,0.0,0.78
54.5,0.9923,0.0,0.78
54.666666666666664,0.9956,6.057264777690304,0.78
54.833333333333336,1.0,4.882261871312452,0.78
55.0,1.0,3.0854754357470893,0.78
55.166666666666664,1.0,5.740607179012493,0.78
55.333333333333336,1.0,5.350190404917563,0.78
55.5,1.0,3.016670131053469,0.78
55.666666666666664,0.9988,0.0,0.78
55.833333333333336,0.9962,0.0,0.78
56.0,0.9802,0.0,9.45
56.166666666666664,0.9673,0.0,0.78
56.333333333333336,0.9831,6.069249282612827,0.78
56.5,0.9962,3.305357013250953,0.78
56.666666666666664,1.0,4.372489135199639,0.78
56.833333333333336,1.0,6.257315871117488,0.78
57.0,1.0,3.637530440379306,0.78
57.166666666666664,1.0,3.910789877498127,0.78
57.333333333333336,0.9973,0.0,0.78
57.5,0.9947,0.0,0.78
57.666666666666664,0.992,0.0,0.78
57.833333333333336,0.9983,6.20949973087498,0.78
58.0,1.0,4.53442895273569,0.78
58.166666666666664,1.0,3.2197728845293923,0.78
58.333333333333336,1.0,5.977810630041786,0.78
58.5,1.0,5.02049317955178,0.78
58.666666666666664,1.0,3.0510595421731823,0.78
58.833333333333336,0.9985,0.0,0.78
59.0,0.9826,0.0,9.45
59.166666666666664,0.9696,0.0,0.78
59.333333333333336,0.967,0.0,0.78
59.5,0.9848,5.858443396999433,0.78
59.666666666666664,0.9969,3.139908937651964,0.78
59.833333333333336,1.0,4.719585268142602,0.78
60.0,1.0,6.136838482581181,0.78
60.166666666666664,1.0,3.3896793002945995,0.78
60.333333333333336,0.9997,0.0,0.78
60.5,0.9971,0.0,0.78
60.666666666666664,0.9944,0.0,0.78
60.833333333333336,0.9918,0.0,0.78
61.0,1.0,6.292529298477707,0.78
61.166666666666664,1.0,4.192304266571762,0.78
61.333333333333336,1.0,3.418573479810208,0.78
61.5,1.0,6.156170447971406,0.78
61.666666666666664,1.0,4.674766102283926,0.78
61.833333333333336,1.0,3.157497408947802,0.78
62.0,0.985,0.0,9.45
62.166666666666664,0.9706,0.0,0.78
62.333333333333336,0.9679,0.0,0.78
62.5,0.9671,5.513790907525109,0.78
62.666666666666664,0.985,5.594132298258786,0.78
62.833333333333336,0.9962,3.042535736556067,0.78
