t_h,w_norm_degs
3.566666666666667,0.7978683870635931
3.5833333333333335,0.7937249609026855
3.6,0.7963695454469378
3.6166666666666667,0.7962991288928347
3.6333333333333333,0.7889263545544849
3.65,0.7844772281501787
3.6666666666666665,0.7877716028553134
3.683333333333333,0.7876108017786047
3.7,0.7779593396598825
3.716666666666667,0.7711975587627277
3.7333333333333334,0.7753523146199771
3.75,0.7765478613159683
3.7666666666666666,0.7624472376957142
3.783333333333333,0.7480916261429499
3.8,0.7518176777307183
3.816666666666667,0.7588606624113939
3.8333333333333335,0.7397729989584189
3.85,0.7058823241661104
3.8666666666666667,0.6967027848854462
3.8833333333333333,0.7139079587732585
3.9,0.7065053697419901
3.9166666666666665,0.6553074406158638
3.933333333333333,0.6075491483823068
3.95,0.6006263921731597
3.966666666666667,0.616025179891288
3.9833333333333334,0.6102203680156513
4.0,0.575236386850518
4.016666666666667,0.538900304833266
4.033333333333333,0.5218705129859681
4.05,0.5225728364263167
4.066666666666666,0.5275152088535737
4.083333333333333,0.525268036069146
4.1,0.5148936074799673
4.116666666666666,0.5035044579949961
4.133333333333334,0.4977510256430436
4.15,0.4986207248373087
4.166666666666667,0.5019446128347336
4.183333333333334,0.5024211479877182
4.2,0.4980657502242786
4.216666666666667,0.49145686910789
4.233333333333333,0.4868892965236811
4.25,0.48661928946783345
4.266666666666667,0.48932382736437424
4.283333333333333,0.4913927906305003
4.3,0.4899538832571936
4.316666666666666,0.48527965655572497
4.333333333333333,0.48040532424096455
4.35,0.4784501674767739
4.366666666666666,0.4801502753534436
4.383333333333334,0.48333744500942394
4.4,0.48455762730364804
4.416666666666667,0.4818022633585193
4.433333333333334,0.4762140278194527
4.45,0.47118653621221357
4.466666666666667,0.4697614731103777
4.483333333333333,0.4724679883700484
4.5,0.47679942521157836
4.516666666666667,0.4785908073938972
4.533333333333333,0.47488457716729293
4.55,0.46637571135909933
4.566666666666666,0.45718418321062704
4.583333333333333,0.4522654134368473
4.6,0.4545955951971692
4.616666666666666,0.46302369724296527
4.633333333333334,0.4711322857882291
4.65,0.46965698243719417
4.666666666666667,0.45363827327227096
4.683333333333334,0.42752871225570493
4.7,0.4018779116295043
4.716666666666667,0.3862657585555735
4.733333333333333,0.38466968347537206
4.75,0.3934724572786669
4.766666666666667,0.4025926036090805
4.783333333333333,0.40173735501261404
4.8,0.3879023888345788
4.816666666666666,0.3662133679661488
4.833333333333333,0.34423875138513577
4.85,0.32707872137797434
4.866666666666666,0.3164721475261746
4.883333333333334,0.31193658674206864
4.9,0.31188140571856404
4.916666666666667,0.31424493215634197
4.933333333333334,0.3169176548297239
4.95,0.31817105029558707
4.966666666666667,0.31706512749272525
4.983333333333333,0.3136447938060503
5.0,0.30878929699714597
5.016666666666667,0.3037888901361317
5.033333333333333,0.29987025586985944
5.05,0.2978545371030925
5.066666666666666,0.29799844142197035
5.083333333333333,0.29998111387386134
5.1,0.3029971809830106
5.116666666666666,0.30594964502290084
